full_name,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,min_per_goal_overall,cards_per_90_overall,min_per_match,min_per_assist_overall,rank_in_league_top_attackers,target_attribute
Souleymane Bamba,37,2475,28,2,1,0,0,7,0,0.18,0.04,0.15,619,0.25,88,2475,118,2
Stefan Marius Johansen,31,412,12,0,0,0,0,4,0,0,0,0,0,0.87,34,0,318,0
Stefano Okaka,33,22,2,0,0,0,0,1,0,0,0,0,0,4.09,11,0,-1,0
Stephan Lichtsteiner,38,940,14,0,0,0,0,3,0,0,0,0,0,0.29,67,0,387,0
Stephen Ward,37,230,3,0,0,0,0,1,0,0,0,0,0,0.39,77,0,-1,0
Steve Cook,31,2787,31,0,1,0,0,3,0,0.06,0.03,0.03,2787,0.1,90,2787,254,1
Steve Mounié,27,1777,31,2,3,0,0,2,1,0.25,0.15,0.1,889,0.15,57,592,168,1
Steven Davis,37,96,3,0,1,0,0,0,0,0.94,0.94,0,0,0,32,96,-1,0
Steven Defour,34,452,6,0,0,0,0,0,0,0,0,0,0,0,75,0,264,0
Stuart Armstrong,30,1432,29,1,2,0,0,2,0,0.31,0.13,0.19,477,0.13,49,716,98,1
Sullay Kaikai,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Sung-Yeung Ki,33,1302,18,0,1,0,0,2,0,0.07,0.07,0,0,0.14,72,1302,349,0
Tahith Chong,22,36,2,0,0,0,0,0,0,0,0,0,0,0,18,0,-1,0
Terence Kongolo,28,2722,32,0,1,0,0,4,0,0.07,0.03,0.03,2722,0.13,85,2722,261,1
Theo Walcott,33,2122,37,3,2,0,0,1,0,0.3,0.08,0.21,424,0.04,57,1061,90,2
Tim Ream,34,2051,26,0,0,0,0,1,0,0,0,0,0,0.04,79,0,265,0
Timothy Eyoma,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Timothy Fosu-Mensah,24,795,12,0,0,0,0,3,0,0,0,0,0,0.34,66,0,319,0
Toby Alderweireld,33,2924,34,0,0,0,0,3,0,0,0,0,0,0.09,86,0,356,0
Tom Cairney,31,2198,31,1,1,0,0,0,0,0.08,0.04,0.04,2198,0,71,2198,238,1
Tom Cleverley,33,470,13,0,0,0,0,2,0,0.19,0,0.19,470,0.38,36,0,99,0
Tom Davies,24,975,16,0,0,0,0,3,0,0,0,0,0,0.28,61,0,416,0
Tom Heaton,36,1710,19,0,0,0,0,3,0,0,0,0,0,0.16,90,0,382,0
Tom Smith,30,1141,15,0,0,0,0,3,1,0,0,0,0,0.32,76,0,334,0
Trent Alexander-Arnold,23,2467,29,0,12,0,0,3,0,0.47,0.44,0.04,2467,0.11,85,206,233,0
Troy Deeney,34,2548,32,3,5,1,0,5,1,0.49,0.18,0.32,283,0.21,80,510,57,2
Tyias Browning,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Tyreke Johnson,23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Tyrone Mings,29,141,5,0,0,0,0,0,0,0,0,0,0,0,28,0,-1,0
Vicente Guaita,35,1755,20,0,0,0,0,2,0,0,0,0,0,0.1,88,0,325,0
Vicente Iborra De La Fuente,34,226,8,0,0,0,0,0,0,0,0,0,0,0,28,0,-1,0
Víctor Camarasa,28,2579,32,4,4,1,0,6,0,0.31,0.14,0.17,516,0.21,81,645,111,2
Victor Moses,31,26,2,0,0,0,0,0,0,0,0,0,0,0,13,0,-1,0
Victor Nilsson Lindelöf,28,2602,30,1,1,0,0,1,0,0.07,0.03,0.03,2602,0.03,87,2602,263,0
Victor Wanyama,31,509,13,1,0,0,0,2,0,0.18,0,0.18,509,0.35,39,0,106,0
Viktor Gyökeres,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Vincent Janssen,28,36,3,0,0,0,0,0,0,0,0,0,0,0,12,0,-1,0
Vincent Kompany,36,1223,17,1,0,0,0,6,0,0.07,0,0.07,1223,0.44,72,0,194,0
Virgil van Dijk,31,3385,38,2,2,0,0,1,0,0.16,0.05,0.11,846,0.03,89,1693,152,1
Wayne Hennessey,35,1575,18,0,0,0,0,0,0,0,0,0,0,0,88,0,321,0
Wes Morgan,38,1926,22,1,0,0,0,5,2,0.14,0,0.14,642,0.23,88,0,125,1
Wesley Hoedt,28,1170,13,0,0,0,0,2,0,0,0,0,0,0.15,90,0,374,0
Wilfredo Daniel Caballero,40,180,2,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,0
Wilfried Zaha,29,3041,34,1,5,0,0,10,1,0.44,0.15,0.3,304,0.3,89,608,63,2
Will Hughes,27,2436,32,1,4,0,0,5,0,0.22,0.15,0.07,1218,0.18,76,609,199,1
Will Norris,29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Willian,34,2108,32,2,6,0,0,2,0,0.38,0.26,0.13,703,0.09,66,351,132,1
Willy Boly,31,3169,36,2,0,0,0,3,1,0.11,0,0.11,792,0.11,88,0,148,2
Xherdan Shaqiri,30,1058,24,5,3,0,0,2,0,0.77,0.26,0.51,176,0.17,44,353,15,2
Yann Valery,23,1715,23,1,1,0,0,5,1,0.16,0.05,0.1,858,0.26,75,1715,162,1
Yerry Fernando Mina González,27,890,13,0,0,0,0,3,0,0.1,0,0.1,890,0.3,68,0,161,1
Yoshinori Muto,30,516,17,0,0,0,0,1,0,0.17,0,0.17,516,0.17,30,0,113,1
Youri Tielemans,25,1092,13,2,4,0,0,2,0,0.58,0.33,0.25,364,0.16,84,273,80,2
Yves Bissouma,26,1769,28,0,0,0,0,5,0,0,0,0,0,0.25,63,0,402,0
Zechariah Medley,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Zeze Steven Sessegnon,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Łukasz Fabiański,37,3420,38,0,0,0,0,0,0,0,0,0,0,0,90,0,391,0
