full_name,age,minutes_played_overall,appearances_overall,goals_overall,assists_overall,penalty_goals,penalty_misses,yellow_cards_overall,red_cards_overall,goals_involved_per_90_overall,assists_per_90_overall,goals_per_90_overall,min_per_goal_overall,cards_per_90_overall,min_per_match,min_per_assist_overall,rank_in_league_top_attackers,target_attribute
Marcos Alonso,31,2761,31,1,4,0,0,6,0,0.2,0.13,0.07,1381,0.2,89,690,191,1
Marcus Bettinelli,30,630,7,0,0,0,0,1,0,0,0,0,0,0.14,90,0,296,0
Marcus Rashford,24,2362,33,4,6,0,0,4,1,0.61,0.23,0.38,236,0.19,72,394,41,2
Mario Lemina,29,1615,21,0,1,0,0,5,0,0.11,0.06,0.06,1615,0.28,77,1615,211,1
Mark Noble,35,2308,31,2,5,4,0,7,1,0.39,0.19,0.19,462,0.31,74,462,96,2
Mark Travers,23,180,2,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,0
Marko Arnautović,33,2000,28,7,4,1,0,3,0,0.63,0.18,0.45,200,0.14,71,500,26,2
Markus Suttner,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Marouane Fellaini,34,744,14,0,1,0,0,1,0,0.12,0.12,0,0,0.12,53,744,341,0
Martin Dúbravka,33,3420,38,0,0,0,0,1,0,0,0,0,0,0.03,90,0,345,0
Martin Kelly,32,1110,13,0,0,0,0,2,0,0,0,0,0,0.16,85,0,326,0
Martín Montoya,31,2166,25,0,1,0,0,4,0,0.04,0.04,0,0,0.17,87,2166,294,0
Mason Greenwood,20,115,3,0,0,0,0,0,0,0,0,0,0,0,38,0,-1,0
Mason Holgate,25,407,5,0,0,0,0,1,0,0,0,0,0,0.22,81,0,414,0
Matěj Vydra,30,311,13,1,1,0,0,1,0,0.58,0.29,0.29,311,0.29,24,311,66,0
Mateo Kovačić,28,1743,32,0,2,0,0,3,0,0.1,0.1,0,0,0.15,54,872,291,0
Mathew Ryan,30,3060,34,0,0,0,0,2,0,0,0,0,0,0.06,90,0,398,0
Mathias Jattah-Njie Jørgensen,32,2148,24,1,1,0,0,6,0,0.17,0.04,0.13,716,0.25,90,2148,129,2
Matt Butcher,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Matt Doherty,30,3147,38,1,5,0,0,5,0,0.26,0.14,0.11,787,0.14,83,629,155,2
Matt Ritchie,33,2940,36,1,8,1,1,9,0,0.31,0.24,0.06,1470,0.28,82,368,216,1
Matt Targett,26,1185,16,1,3,0,0,2,0,0.3,0.23,0.08,1185,0.15,74,395,183,0
Matteo Darmian,32,443,6,0,0,0,0,0,0,0,0,0,0,0,74,0,411,0
Mattéo Guendouzi Olié,23,2143,33,0,0,0,0,9,0,0,0,0,0,0.38,65,0,386,0
Matthew Connolly,34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Matthew Lowton,33,1748,21,0,0,0,0,7,0,0,0,0,0,0.36,83,0,378,0
Matty Daly,21,73,2,0,0,0,0,0,0,0,0,0,0,0,37,0,-1,0
Max Harrison Sanders,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Max Kilman,25,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,0
Max Meyer,26,1414,29,0,2,0,0,3,0,0.19,0.13,0.06,1414,0.19,49,707,209,1
Maxime Le Marchand,32,2251,26,0,1,0,0,5,0,0.04,0.04,0,0,0.2,87,2251,314,0
Maya Yoshida,34,1520,17,0,1,0,0,0,0,0.06,0.06,0,0,0,89,1520,308,0
Mesut Özil,33,1741,24,4,2,0,0,2,0,0.36,0.1,0.26,348,0.1,73,871,73,2
Michael Keane,29,2970,33,0,2,0,0,2,0,0.09,0.06,0.03,2970,0.06,90,1485,251,1
Michael Obafemi,22,134,6,0,1,0,0,1,0,1.34,0.67,0.67,134,0.67,22,134,-1,0
Michail Antonio,32,2099,33,4,4,0,0,3,0,0.43,0.17,0.26,350,0.13,64,525,77,2
Michel Vorm,38,180,2,0,0,0,0,0,0,0,0,0,0,0,90,0,-1,0
Michy Batshuayi,28,756,11,2,0,0,0,0,0,0.6,0,0.6,151,0,69,0,8,2
